SCD;21NOV12
RowNr;RD;RA;CD;CA;AL;FNR;SNR;DEP;ARR;STD;DDC;STA;ADC;Mo;Tu;We;Th;Fr;Sa;So;ACtype;ACtypefullname;AG;AGfullname;Start_Op;End_Op
1;EU;EU;DE;DE;LH;LH001;0;HAM;FRA;0600;0;0715;0;1;2;;;;6;;321;AirbusA321-100/200;W;PAXULD;13NOV12;18DEC12
2;EU;EU;DE;DE;LH;LH001;0;HAM;FRA;0600;0;0715;0;;;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;14NOV12;30NOV12
3;EU;EU;DE;DE;LH;LH001;0;HAM;FRA;0600;0;0715;0;;;3;4;5;;;319;AirbusA319;O;Others;05DEC12;21DEC12
4;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;;2;3;;;;;321;AirbusA321-100/200;W;PAXULD;20NOV12;21NOV12
5;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;1;2;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;22NOV12;28NOV12
6;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;;;;4;;;;320;AirbusA320-100/200;W;PAXULD;29NOV12;29NOV12
7;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;;;;4;5;;;321;AirbusA321-100/200;W;PAXULD;30NOV12;21DEC12
8;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;1;2;3;;;;;321;AirbusA321-100/200;W;PAXULD;04DEC12;18DEC12
9;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;;;3;;;;;320;AirbusA320-100/200;W;PAXULD;19DEC12;19DEC12
10;EU;EU;DE;DE;LH;LH002;0;FRA;HAM;1100;0;1205;0;1;;;;;;;321;AirbusA321-100/200;W;PAXULD;03DEC12;03DEC12
11;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;3;4;;6;;319;AirbusA319;O;Others;15NOV12;22NOV12
12;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;;;5;;;321;AirbusA321-100/200;W;PAXULD;23NOV12;23NOV12
13;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;;4;5;6;;319;AirbusA319;O;Others;24NOV12;30NOV12
14;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;1;2;3;;;;;321;AirbusA321-100/200;W;PAXULD;26NOV12;18DEC12
15;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;;;5;6;;321;AirbusA321-100/200;W;PAXULD;01DEC12;07DEC12
16;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;;4;;;;320;AirbusA320-100/200;W;PAXULD;06DEC12;13DEC12
17;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;;;;6;;319;AirbusA319;O;Others;08DEC12;08DEC12
18;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;3;;5;6;;320;AirbusA320-100/200;W;PAXULD;14DEC12;21DEC12
19;EU;EU;DE;DE;LH;LH003;0;HAM;FRA;0630;0;0745;0;;;;4;;;;321;AirbusA321-100/200;W;PAXULD;20DEC12;20DEC12
20;EU;EU;DE;DE;LH;LH004;0;FRA;HAM;0700;0;0805;0;;2;3;4;5;;;321;AirbusA321-100/200;W;PAXULD;20NOV12;23NOV12
21;EU;EU;DE;DE;LH;LH004;0;FRA;HAM;0700;0;0805;0;;;;;;6;;319;AirbusA319;O;Others;24NOV12;24NOV12
22;EU;EU;DE;DE;LH;LH004;0;FRA;HAM;0700;0;0805;0;1;2;3;4;5;;7;321;AirbusA321-100/200;W;PAXULD;25NOV12;06DEC12
23;EU;EU;DE;DE;LH;LH004;0;FRA;HAM;0700;0;0805;0;;;;;;6;;320;AirbusA320-100/200;W;PAXULD;01DEC12;22DEC12
